title,description,employer,location,job_url,tags,featured
Technician II,"Technician II at Vestas in Iowa, maintaining wind turbines safely.",Vestas,"Lime Springs, Iowa, United States",https://rejobs.org/en/renewable-energy-jobs/111651-technician-ii-vestas,Safety Management | Wind Turbine Technician | Onshore Wind Energy | Turbine Operations | Wind O&M,False
O&M Manager (m/w/d),"O&M Manager at Voltalia in Madrid, Spain.",Voltalia,"Madrid, Spain",https://rejobs.org/en/renewable-energy-jobs/111827-om-manager-mwd-voltalia,EPC Management | Photovoltaic Systems | Power Electronics | Solar O&M,False
Solar/BESS Technician,"Solar/BESS Technician at Spark Power in Barrie, Canada.",Spark Power,"Barrie, Canada",https://rejobs.org/en/renewable-energy-jobs/112399-solarbess-technician-spark-power,Solar Installation | Battery Management Systems | Battery Technology | Photovoltaic Systems | Power Electronics | Solar O&M,False
Service Engineer,"Service Engineer at Eos Energy in Edison, USA.",Eos Energy Enterprises,"Edison, United States",https://rejobs.org/en/renewable-energy-jobs/112129-service-engineer-eos-energy-enterprises,Technical Support | Battery Management Systems | Battery Technology | Distributed Energy Resources | Power Electronics,False
Senior IT Administrator,"Senior IT Administrator at Factorial Energy in Billerica, MA.",Factorial Energy,"Billerica, Massachusetts, United States",https://rejobs.org/en/renewable-energy-jobs/112223-senior-it-administrator-factorial-energy,IT Management | Battery Management Systems | Battery Technology | Distributed Energy Resources | Power Electronics | Vehicle Electrification,False
Lead Professional Payroll,"Lead Payroll role at Vestas in Buenos Aires, LATAM focus.",Vestas,"Buenos Aires, Argentina",https://rejobs.org/en/renewable-energy-jobs/111653-lead-professional-payroll-vestas,Human Resources | Payroll Management | Energy Justice,False
Originator,Originator at Eku Energy in Sydney or Melbourne.,Eku Energy,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/112210-originator-eku-energy,Project Management | Contract Management | Battery Technology | Market Analysis | Power Purchase Agreement,False
Summer Trainee 2026: Financial Energy Analyst,Summer Trainee Financial Energy Analyst at Elomatic in Espoo.,Elomatic,"Espoo, Finland",https://rejobs.org/en/renewable-energy-jobs/112559-summer-trainee-2026-financial-energy-analyst-elomatic,Market Analysis | Energy Economics | Energy Policy,False
Office Manager & Development Coordinator,Office Manager & Development Coordinator at Econergy in London.,Econergy Renewable Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112184-office-manager-development-coordinator-econergy-renewable-energy,Project Management | EPC Management | Community Energy | Stakeholder Management,False
Logistics Coordinator,"Logistics Coordinator at RWE Renewables in Lowestoft, UK.",RWE Renewables,"Lowestoft, Suffolk, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/111463-logistics-coordinator-rwe-renewables,Logistics | Health & Safety | Offshore Wind Energy | Operations Management | Supply Chain Management | Resource Management,False
Projects procurement manager,"Projects Procurement Manager at Ormat Technologies in Reno, USA.",Ormat Technologies,"Reno, Nevada, United States",https://rejobs.org/en/renewable-energy-jobs/112535-projects-procurement-manager-ormat-technologies,Procurement | Construction | Project Management | Vendor Management | Civil Engineering | Energy Consulting | Utility Management,False
Corporate Development Sr Associate - M&A,"Lead M&A deals at NextEra Energy in Juno Beach, FL.",NextEra Energy,"Juno Beach, Florida, United States",https://rejobs.org/en/renewable-energy-jobs/111534-corporate-development-sr-associate-ma-nextera-energy,Energy Economics | Corporate Strategy | Project Finance,False
Legal Counsel,"Legal Counsel at Fuse Energy in London, driving renewable energy growth.",Fuse Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112227-legal-counsel-fuse-energy,Corporate Strategy | Regulatory Compliance | Commercial Management | Energy Policy | Stakeholder Management,False
Compliance & Quality Engineer,Compliance & Quality Engineer at Lundsby in Nordic region.,Lundsby Renewable Solutions A/S,"Helsinki, Finland",https://rejobs.org/en/renewable-energy-jobs/112240-compliance-quality-engineer-lundsby-renewable-solutions-as,Compliance | Biogas Energy | Quality Assurance | EPC Management | Environmental Management | Regulatory Compliance,False
Area Business Manager,Area Business Manager at Sun King in Malawi driving solar sales.,Sun King,Malawi,https://rejobs.org/en/renewable-energy-jobs/111779-area-business-manager-sun-king,Sales and Marketing | Community Solar | Energy Access,False
Hardware Engineer - Power Electronics,Power Electronics Hardware Engineer at Ohmium in Bengaluru.,Ohmium,"Bengaluru, India",https://rejobs.org/en/renewable-energy-jobs/111986-hardware-engineer-power-electronics-ohmium,Power Electronics | Hardware Engineering | Electrical Engineering | Inverter Technology,False
Green Schools Campaign Senior Organizer,"Lead Green Schools Campaign at Climate Reality in Washington, D.C.",The Climate Reality Project,"Washington, D.C., United States",https://rejobs.org/en/renewable-energy-jobs/111926-green-schools-campaign-senior-organizer-the-climate-reality-project,Community Energy | Advocacy & Policy | Climate Adaptation | Energy Justice | Energy Policy,False
Account Executive,Account Executive at GlacierGrid in San Francisco driving sustainable energy sales.,GlacierGrid,"San Francisco, California, United States",https://rejobs.org/en/renewable-energy-jobs/112299-account-executive-glaciergrid,Sales and Marketing | Clean Energy Solutions | Energy Access,False
Senior Controller,Senior Controller at Vattenfall in Europe driving finance digitalization.,Vattenfall,"Amsterdam, the Netherlands",https://rejobs.org/en/renewable-energy-jobs/111488-senior-controller-vattenfall,Digital Twin | Analytics | Energy Economics,False
Work Experience 2026 - Engineering,"Work experience at ORE Catapult in Blyth, UK.",ORE Catapult,"Blyth, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112543-work-experience-2026-engineering-ore-catapult,Tidal Energy | Offshore Wind Energy | Ocean Energy,False
Sales Development Representative,"Sales Development Rep at Volue in Vienna, Berlin, Madrid.",Volue,"Vienna, Austria",https://rejobs.org/en/renewable-energy-jobs/111983-sales-development-representative-volue,Energy Trading | Sales and Marketing | Customer Management | Market Analysis,False
Deal Enablement & Strategy Analyst,Deal Enablement Analyst at Volue in Europe.,Volue,"Trondheim, Norway",https://rejobs.org/en/renewable-energy-jobs/111981-deal-enablement-strategy-analyst-volue,Sales and Marketing | Business Development | Energy Policy | Partnership Management | Stakeholder Management,False
Tax director,"Tax Director at Econergy in Kfar Saba, Israel.",Econergy Renewable Energy,"Kfar Saba, Israel",https://rejobs.org/en/renewable-energy-jobs/112186-tax-director-econergy-renewable-energy,Compliance | Energy Governance | Accounting & Finance,False
Application Engineer Electrical (m/w/d),Application Engineer Electrical at AEG Power Solutions in Singapore.,AEG Power Solutions,Singapore,https://rejobs.org/en/renewable-energy-jobs/111990-application-engineer-electrical-mwd-aeg-power-solutions,Quality Assurance | Project Management | Electrical Engineering | Green Hydrogen | Power Electronics,False
"Head, Devices & Meters","Lead Devices & Meters at Landis+Gyr in Lafayette, Indiana.",Landis+Gyr,"Lafayette, Indiana, United States",https://rejobs.org/en/renewable-energy-jobs/111691-head-devices-meters-landisgyr,Product Development | Hardware Engineering | Electrical Engineering | Power Electronics,False
Talent acquisition specialist (f/m/d),"Talent Acquisition Specialist at Axpo in Warsaw, Poland.",Axpo,"Warsaw, Poland",https://rejobs.org/en/renewable-energy-jobs/111713-talent-acquisition-specialist-fmd-axpo,Human Resources | Talent Acquisition & Management | Community Energy,False
Mobile wind operations manager,"Mobile Wind Operations Manager at Vestas in Fredericton, Canada.",Vestas,"Fredericton, Canada",https://rejobs.org/en/renewable-energy-jobs/111650-mobile-wind-operations-manager-vestas,Safety Management | Project Management | Onshore Wind Energy | Turbine Operations | Wind O&M | Customer Management,False
Analyst - Valuation & Modeling,"Analyst at ib vogt in Wroclaw, Poland.",ib vogt,"Wroclaw, Poland",https://rejobs.org/en/renewable-energy-jobs/111574-analyst-valuation-modeling-ib-vogt,Energy Asset Valuation | Project Finance | Financial Services,False
Technical Support SE,"Technical Support SE at Fronius in Monterrey, Mexico.",Fronius,"Monterrey, Mexico",https://rejobs.org/en/renewable-energy-jobs/111683-technical-support-se-fronius,Technical Support | Photovoltaic Systems | Power Electronics,False
Energy Graduates,Join Arup as Energy Graduates in Malaysia.,Arup,"Kuala Lumpur, Malaysia",https://rejobs.org/en/renewable-energy-jobs/112513-energy-graduates-arup,Climate Adaptation | Community Energy | Sustainability | Electrical Engineering,False
"Business Development Director, International (Consultant)",Lead international business growth at Antora Energy in Spain.,Antora Energy,Spain,https://rejobs.org/en/renewable-energy-jobs/112138-business-development-director-international-consultant-antora-energy,Clean Energy Solutions | Thermal Energy | Energy Economics | Energy Policy,False
Senior Project Manager - Utility Construction,"Senior Project Manager at Southern California Edison in Santa Ana, CA.",Southern California Edison,"Santa Ana, United States",https://rejobs.org/en/renewable-energy-jobs/111640-senior-project-manager-utility-construction-southern-california-edison,Project Management | Utility Management | Transmission & Distribution Systems | EPC Management | Environmental Management | Energy Governance,False
Plant Manager,"Plant Manager at Clearway Energy in Woodward, OK.",Clearway Energy Group,"Woodward, Oklahoma, United States",https://rejobs.org/en/renewable-energy-jobs/112020-plant-manager-clearway-energy-group,EPC Management | Onshore Wind Energy | Turbine Operations | Wind O&M | Safety Management,False
International Regional Organizer,"International Regional Organizer at The Climate Reality Project in Washington, D.C.",The Climate Reality Project,"Washington, D.C., United States",https://rejobs.org/en/renewable-energy-jobs/111927-international-regional-organizer-the-climate-reality-project,Community Energy | Energy Access | Energy Justice | Energy Policy | Organizational Development | Stakeholder Management,False
"Graduate Analyst (P&C, IT & Commercial)","Graduate Analyst at Hydro Tasmania in Hobart, Australia.",Hydro Tasmania,"Hobart, Tasmania, Australia",https://rejobs.org/en/renewable-energy-jobs/111898-graduate-analyst-pc-it-commercial-hydro-tasmania,Graduate Programs | Environmental Management | Energy Access,False
"Intern, Clearloop Data Analytics","Intern at Silicon Ranch in Nashville, TN, focusing on solar data analytics.",Silicon Ranch Corporation,"Nashville, Tennessee, United States",https://rejobs.org/en/renewable-energy-jobs/112448-intern-clearloop-data-analytics-silicon-ranch-corporation,Agrivoltaics | Photovoltaic Systems | Energy Access | Software Development | Analytics,False
Product Marketing Manager,Product Marketing Manager at EnergyHub in the US.,EnergyHub,United States,https://rejobs.org/en/renewable-energy-jobs/112283-product-marketing-manager-energyhub,Distributed Energy Resources | Utility Management | Product Development,False
Senior Asset Manager,"Senior Asset Manager at EDF Energy in Edinburgh, UK.",EDF Energy,"Edinburgh, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/111490-senior-asset-manager-edf-energy,Risk Management | Asset Management | Offshore Wind Energy | Wind Farms | Energy Policy | Health & Safety | Stakeholder Management,False
Customer Service Specialist - opportunity for fast progression and high reward,"Customer Service Specialist at Good Energy in Chippenham, UK.",Good Energy,"Chippenham, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112145-customer-service-specialist-opportunity-for-fast-progression-and-high-reward-good-energy,Customer Management | Energy Access | Energy Policy,False
Chief of Engineering,"Lead engineering at Smart Wires in Durham, NC.",Smart Wires,"Durham, North Carolina, United States",https://rejobs.org/en/renewable-energy-jobs/112468-chief-of-engineering-smart-wires,EPC Management | Project Management | Safety Management | Power Electronics,False
"Group Product Manager (GPM), Data Platform","Lead data platform at Uplight in the US, driving clean energy tech.",Uplight,United States,https://rejobs.org/en/renewable-energy-jobs/111960-group-product-manager-gpm-data-platform-uplight,Data | Analytics | Machine Learning | Clean Energy Innovation | Software Development,False
Mechanical Engineer - Cable Magnets,"Mechanical Engineer at Commonwealth Fusion Systems in Devens, MA.",Commonwealth Fusion Systems,"Devens, Massachusetts, United States",https://rejobs.org/en/renewable-energy-jobs/112410-mechanical-engineer-cable-magnets-commonwealth-fusion-systems,Thermal Energy | Mechanical Engineering,False
Director - Government Programs,"Lead government programs at Thea Energy in Princeton, NJ.",Thea Energy,"Princeton, New Jersey, United States",https://rejobs.org/en/renewable-energy-jobs/112198-director-government-programs-thea-energy,Government Relations | Clean Energy Solutions | Energy Economics | Energy Policy,False
Sustainability Analyst,Sustainability Analyst at Octopus Energy in London.,Octopus Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/111616-sustainability-analyst-octopus-energy,Carbon Accounting | Energy Auditing | Energy Policy | Environmental Impact Assessment,False
Legal Counsel,"Legal Counsel at Sunly in Tallinn, Estonia.",Sunly,"Tallinn, Estonia",https://rejobs.org/en/renewable-energy-jobs/112073-legal-counsel-sunly,Legal Services | Advocacy & Policy | Energy Policy,False
Corporate Development Principal - M&A,"Lead M&A at NextEra Energy in Juno Beach, FL.",NextEra Energy,"Juno Beach, Florida, United States",https://rejobs.org/en/renewable-energy-jobs/111535-corporate-development-principal-ma-nextera-energy,Corporate Strategy | Energy Economics | Project Finance,False
Finance Business Partner,Finance Business Partner at EDF Energy in Edinburgh supporting net zero goals.,EDF Energy,"Edinburgh, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/111491-finance-business-partner-edf-energy,Offshore Wind Energy | Energy Economics,False
Systems Engineer,Systems Engineer at Thea Energy in New Jersey.,Thea Energy,"Kearny, New Jersey, United States",https://rejobs.org/en/renewable-energy-jobs/112206-systems-engineer-thea-energy,Project Management | Systems Engineering | Engineering Management | Power Electronics,False
Area Business Managers,Area Business Manager at Sun King in Tanzania driving solar sales.,Sun King,Tanzania,https://rejobs.org/en/renewable-energy-jobs/111780-area-business-managers-sun-king,Sales and Marketing | Customer Management | Training & Development | Community Solar | Solar Installation | Energy Access,False
Investments Associate,"Investments Associate at Matrix Renewables in Miami, FL.",Matrix Renewables,"Miami, Florida, United States",https://rejobs.org/en/renewable-energy-jobs/112333-investments-associate-matrix-renewables,Energy Policy | Portfolio Management | Project Finance | Energy Asset Valuation | Energy Economics,False
Renewables Portfolio Lead,"Lead Renewables team at AECOM in Dublin, Ireland.",AECOM,"Dublin, Ireland",https://rejobs.org/en/renewable-energy-jobs/111559-renewables-portfolio-lead-aecom,Community Energy | Energy Policy | Energy Resilience | Stakeholder Management | Talent Acquisition & Management | Project Management,False
Senior Commercial Originator - Battery Energy Storage Solutions,Senior Commercial Originator at Zenobē in Germany.,Zenobē,Germany,https://rejobs.org/en/renewable-energy-jobs/112272-senior-commercial-originator-battery-energy-storage-solutions-zenobe,Battery Technology | Commercial Management | Market Analysis | Power Purchase Agreement | Energy Trading | Partnership Management,False
Project planner for offshore wind projects,Project Planner at Semco Maritime in Denmark and Poland.,Semco Maritime,"Esbjerg, Denmark",https://rejobs.org/en/renewable-energy-jobs/111822-project-planner-for-offshore-wind-projects-semco-maritime,EPC Management | Project Management | Offshore Wind Energy,False
"Project Manager, Technical","Project Manager at Eos Energy in Edison, USA.",Eos Energy Enterprises,"Edison, United States",https://rejobs.org/en/renewable-energy-jobs/112128-project-manager-technical-eos-energy-enterprises,Battery Management Systems | Battery Technology | Power Electronics | Project Management | Product Development,False
HSE Advisor / Engineer,"HSE Advisor at Seaway7 in Zoetermeer, Netherlands.",Seaway7,"Zoetermeer, the Netherlands",https://rejobs.org/en/renewable-energy-jobs/112009-hse-advisor-engineer-seaway7,Health & Safety | Regulatory Compliance | Compliance | Risk Management | Safety Management | Offshore Wind Energy,False
Energy Efficiency Outreach Specialist,Energy Efficiency Outreach Specialist at Evergreen Energy Partners in Las Vegas.,Evergreen Energy Partners,"Las Vegas, Nevada, United States",https://rejobs.org/en/renewable-energy-jobs/112222-energy-efficiency-outreach-specialist-evergreen-energy-partners,Energy Auditing | Technical Support | Customer Management | Training & Development,False
Senior Mechanical Engineer,"Senior Mechanical Engineer at Smart Wires in Durham, NC.",Smart Wires,"Durham, North Carolina, United States",https://rejobs.org/en/renewable-energy-jobs/112467-senior-mechanical-engineer-smart-wires,Power Electronics | Project Management | Mechanical Engineering,False
Electric Sales Executive,Drive sales for BURN's clean cooking in Nairobi.,BURN,"Nairobi, Kenya",https://rejobs.org/en/renewable-energy-jobs/112368-electric-sales-executive-burn,Clean Energy Innovation | Energy Access | Sales and Marketing | Customer Management,False
Project Leader - Rig & Marine,"Project Leader at Semco Maritime in Hanøytangen, Norway.",Semco Maritime,"Hanøytangen, Norway",https://rejobs.org/en/renewable-energy-jobs/111821-project-leader-rig-marine-semco-maritime,Battery Technology | Hybrid Power Plants | Safety Management | Project Management | Marine Engineering,False
Solar/BESS Technician Traveling,"Solar/BESS Technician at Spark Power in Texas, USA.",Spark Power,"Houston, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/112398-solarbess-technician-traveling-spark-power,Battery Management Systems | Photovoltaic Systems | Power Electronics | Solar Installation | Solar O&M | Safety Management,False
Fuel Cycle Engineering Lead,"Lead fuel cycle engineering at Helion Energy in Everett, USA.",Helion Energy,"Everett, United States",https://rejobs.org/en/renewable-energy-jobs/112106-fuel-cycle-engineering-lead-helion-energy,Chemical Engineering | Thermal Energy | Engineering Management,False
Field Service Technician,Field Service Technician at Zenobē in the UK.,Zenobē,United Kingdom,https://rejobs.org/en/renewable-energy-jobs/112271-field-service-technician-zenobe,Battery Technology | Hybrid Power Plants | Battery Management Systems,False
Strategy Analyst,"Strategy Analyst at Econergy in Kfar Saba, Israel.",Econergy Renewable Energy,"Kfar Saba, Israel",https://rejobs.org/en/renewable-energy-jobs/112185-strategy-analyst-econergy-renewable-energy,Energy Analytics | Energy Economics | Energy Policy | Market Analysis | Project Management,False
Analyst - Research and Studies Team (Energy for Health),"Join SELCO Foundation as Analyst in Bengaluru, India.",SELCO Foundation,"Bengaluru, India",https://rejobs.org/en/renewable-energy-jobs/112258-analyst-research-and-studies-team-energy-for-health-selco-foundation,Energy Auditing | Energy Policy | Analytics | Research and Development,False
"Senior Manager, Corporate FP&A (GTM/GCO) Business Partner",Senior Manager FP&A at Power Factors in Boston.,Power Factors,"Boston, Massachusetts, United States",https://rejobs.org/en/renewable-energy-jobs/112030-senior-manager-corporate-fpa-gtmgco-business-partner-power-factors,Energy Analytics | Clean Energy Innovation,False
Finance Intern,"Finance Intern at Fuse Energy in London, UK.",Fuse Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112232-finance-intern-fuse-energy,Energy Analytics | Energy Economics | Energy Trading,False
Senior Product Security Engineer,Senior Product Security Engineer at Uplight in the US.,Uplight,United States,https://rejobs.org/en/renewable-energy-jobs/111961-senior-product-security-engineer-uplight,Clean Energy Solutions | Smart Energy Systems | Cybersecurity,False
Senior Legal Counsel,"Senior Legal Counsel at Volue in Poland, driving green tech growth.",Volue,"Gdańsk, Poland",https://rejobs.org/en/renewable-energy-jobs/111980-senior-legal-counsel-volue,Energy Governance | Software Development | Compliance | Legal Services | Intellectual Property | Regulatory Compliance,False
Strategic Purchaser,"Strategic Purchaser at Wärtsilä in Surgères, France.",Wärtsilä,"Surgères, France",https://rejobs.org/en/renewable-energy-jobs/111664-strategic-purchaser-wartsila,Battery Technology | Hybrid Power Plants | Procurement,False
Field Systems Engineer,"Field Systems Engineer at Terabase Energy in Woodland, USA.",Terabase Energy,"Woodland, United States",https://rejobs.org/en/renewable-energy-jobs/112482-field-systems-engineer-terabase-energy,EPC Management | Photovoltaic Systems | Power Electronics | Solar Installation,False
Senior Marketing Operations Specialist,Senior Marketing Operations Specialist at Uplight in the US.,Uplight,United States,https://rejobs.org/en/renewable-energy-jobs/111958-senior-marketing-operations-specialist-uplight,Clean Energy Innovation | Customer Management | Energy Access | Digital Marketing | Marketing and Communications,False
Electrical Supervisor,"Electrical Supervisor at Enviva in Epes, Alabama.",Enviva,"Epes, Alabama, United States",https://rejobs.org/en/renewable-energy-jobs/111892-electrical-supervisor-enviva,Bioenergy | Operations Management | Safety Management | Electrical Engineering,False
Technical Due Diligence Expert - Biogas International (f/m/d),Technical Due Diligence Expert at Axpo in Europe.,Axpo,"Rome, Italy",https://rejobs.org/en/renewable-energy-jobs/111709-technical-due-diligence-expert-biogas-international-fmd-axpo,Business Development | Biogas Energy | Energy Due Diligence,False
Quantitative Researcher,Quantitative Researcher at Fuse Energy in London.,Fuse Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112229-quantitative-researcher-fuse-energy,Energy Analytics | Statistical Analysis | Energy Trading | Quantitative Analysis,False
"Principal, Power Procurement & Origination","Lead power procurement at Antora Energy, remote US role.",Antora Energy,United States,https://rejobs.org/en/renewable-energy-jobs/112140-principal-power-procurement-origination-antora-energy,Energy Economics | Energy Policy | Utility Management | Procurement | Power Purchase Agreement,False
Global Tech Excellence Center Assistant,Join FairWind in Szczecin as a GTEC Assistant supporting global wind tech teams.,FairWind,"Szczecin, Poland",https://rejobs.org/en/renewable-energy-jobs/111797-global-tech-excellence-center-assistant-fairwind,Energy Access | Talent Acquisition & Management | Human Resources | Operations Management,False
Wind Project Manager,"Wind Project Manager at Sunly in Krakow, Poland.",Sunly,"Krakow, Poland",https://rejobs.org/en/renewable-energy-jobs/112074-wind-project-manager-sunly,EPC Management | Environmental Management | Onshore Wind Energy | Wind Farms | Project Management,False
Control Room Operator,"Control Room Operator at Uplight in Lexington, VA.",Uplight,"Lexington, Virginia, United States",https://rejobs.org/en/renewable-energy-jobs/111956-control-room-operator-uplight,Battery Management Systems | Demand Response | Photovoltaic Systems | Distributed Energy Resources | Control Engineering,False
Senior Power and Control Electrical Engineer,Senior Electrical Engineer at Eos Energy in East Pittsburgh.,Eos Energy Enterprises,"East Pittsburgh, Pennsylvania, United States",https://rejobs.org/en/renewable-energy-jobs/112130-senior-power-and-control-electrical-engineer-eos-energy-enterprises,Battery Management Systems | Battery Technology | Distributed Energy Resources | Power Electronics | Project Management | Electrical Engineering,False
Crane Operator,"Crane Operator at Enviva in Garysburg, NC.",Enviva,"Garysburg, North Carolina, United States",https://rejobs.org/en/renewable-energy-jobs/111891-crane-operator-enviva,Bioenergy | Sustainable Agriculture | Waste Management | Operations Management | Safety Management,False
Growth Intern,"Growth Intern at Fuse Energy in London, UK.",Fuse Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112230-growth-intern-fuse-energy,Community Energy | Energy Access | Social Media Management,False
Senior Platform Engineer,"Senior Platform Engineer at Lunar Energy in London, UK.",Lunar Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112124-senior-platform-engineer-lunar-energy,Cybersecurity | Distributed Energy Resources | Cloud Computing,False
IT Help Desk with Disability (m/w/d),IT Help Desk at sonnen in Cairo supporting clean energy.,sonnen,"Cairo, Egypt",https://rejobs.org/en/renewable-energy-jobs/111921-it-help-desk-with-disability-mwd-sonnen,Energy Access | IT Support,False
Marketing Manager,"Marketing Manager at Good Energy in Chippenham, UK.",Good Energy,"Chippenham, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/112147-marketing-manager-good-energy,Energy Access | Business Development | Marketing and Communications,False
HSEQ Field Officer,"HSEQ Field Officer at Global Wind Service in Hull, UK.",Global Wind Service,"Hull, East Riding of Yorkshire, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/111840-hseq-field-officer-global-wind-service,Environmental Management | Wind O&M | Safety Management | Training & Development | Offshore Wind Energy,False
"Conseiller technique principal, Canada","Senior Technical Advisor at Nordex in Canada, leading wind project execution.",Nordex,Canada,https://rejobs.org/en/renewable-energy-jobs/111608-conseiller-technique-principal-canada-nordex,EPC Management | Turbine Operations | Wind O&M | Training & Development | Safety Management | Project Management | Onshore Wind Energy,False
Electrical Technician - Contract,Electrical Technician at Commonwealth Fusion Systems in Massachusetts.,Commonwealth Fusion Systems,"Somerville, Massachusetts, United States",https://rejobs.org/en/renewable-energy-jobs/112405-electrical-technician-contract-commonwealth-fusion-systems,Commissioning | Power Electronics | Electrical Engineering,False
Warehouse Associate (Backlot),"Warehouse Associate at Antora Energy in San Jose, CA.",Antora Energy,"San Jose, California, United States",https://rejobs.org/en/renewable-energy-jobs/112142-warehouse-associate-backlot-antora-energy,Battery Management Systems | Battery Technology | Materials Engineering | Thermal Energy | Safety Management,False
Lead Commercial Manager,"Lead Commercial Manager at Iberdrola Renewables in Blantyre, Scotland.",Iberdrola Renewables,"Blantyre, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/111435-lead-commercial-manager-iberdrola-renewables,Commercial Management | Energy Governance | Stakeholder Management | Utility Management | Risk Management | Project Management | Contract Management,False
Lead Project Engineer,"Lead Project Engineer at Seaway7 in Zoetermeer, NL.",Seaway7,"Zoetermeer, the Netherlands",https://rejobs.org/en/renewable-energy-jobs/112010-lead-project-engineer-seaway7,EPC Management | Offshore Engineering | Turbine Operations | Wind Farms | Project Management | Offshore Wind Energy,False
Strategy Operations Lead,Lead strategy and operations at Scale Microgrid Solutions in NYC.,Scale Microgrid Solutions,"New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/112178-strategy-operations-lead-scale-microgrid-solutions,Energy Economics | Energy Policy | Project Management | Business Development,False
Control Room Operator,"Control Room Operator at Enviva in Lucedale, MS.",Enviva,"Lucedale, Mississippi, United States",https://rejobs.org/en/renewable-energy-jobs/111890-control-room-operator-enviva,Environmental Management | Safety Management | Biofuels | Bioenergy | Plant Operations,False
Head of Strategic Partnerships,"Lead strategic partnerships at Landis+Gyr in Alpharetta, USA.",Landis+Gyr,"Alpharetta, United States",https://rejobs.org/en/renewable-energy-jobs/111685-head-of-strategic-partnerships-landisgyr,Distributed Energy Resources | Smart Energy Systems | Partnership Management,False
Stage Ingénieur Process - Formation (m/w/d),"Process Engineer Intern at Verkor in Bourbourg, France.",Verkor,"Bourbourg, France",https://rejobs.org/en/renewable-energy-jobs/111810-stage-ingenieur-process-formation-mwd-verkor,Distributed Energy Resources | Electrolysis & Electrolyzers | Vehicle Electrification | Battery Technology | Lithium-Ion Batteries,False
Software Engineer II - (Full Stack with Angular),Join Uplight in Pune as a Fullstack Software Engineer.,Uplight,"Pune, India",https://rejobs.org/en/renewable-energy-jobs/111959-software-engineer-ii-full-stack-with-angular-uplight,Clean Energy Innovation | Energy Access | Agile Methodologies | Software Development,False
Quantitative Power Trader,"Quantitative Power Trader at Volue in Aarhus, Denmark.",Volue,"Aarhus, Denmark",https://rejobs.org/en/renewable-energy-jobs/111982-quantitative-power-trader-volue,Energy Economics | Energy Trading | System Analysis | Quantitative Analysis,False
Regional Assistant Tax Manager,Regional Assistant Tax Manager at ib vogt in Kuala Lumpur.,ib vogt,"Kuala Lumpur, Malaysia",https://rejobs.org/en/renewable-energy-jobs/111905-regional-assistant-tax-manager-ib-vogt,Energy Governance | Compliance | Accounting & Finance,False
"Senior Manager, Power Markets - Transferable Tax Credits","Senior Manager at 3Degrees in US, lead TTC advisory in renewables.",3Degrees,"San Francisco, California, United States",https://rejobs.org/en/renewable-energy-jobs/112267-senior-manager-power-markets-transferable-tax-credits-3degrees,Contract Management | Power Purchase Agreement | Risk Management | Energy Consulting | Business Development,False
Business Value-Creation Internship,"Business Value-Creation Internship at Everlight Solar in Brooklyn Park, USA.",Everlight Solar,"Brooklyn Park, Minnesota, United States",https://rejobs.org/en/renewable-energy-jobs/112241-business-value-creation-internship-everlight-solar,Network Engineering | Clean Energy Innovation | Energy Access | Sales and Marketing | Business Development,False
"Project Manager, Technical","Project Manager at Eos Energy in Edison, US.",Eos Energy Enterprises,"Edison, United States",https://rejobs.org/en/renewable-energy-jobs/112127-project-manager-technical-eos-energy-enterprises,Battery Management Systems | Battery Technology | Power Electronics | Project Management | Software Development,False
Principal Engineer Strategic Network Development,Lead strategic network projects at TransGrid in Sydney.,TransGrid,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/112414-principal-engineer-strategic-network-development-transgrid,Energy Policy | Project Management | Transmission & Distribution Systems,False
Field Sales Consultant,Field Sales Consultant at Sunrun in Texas driving solar sales.,Sunrun,"Houston, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/111512-field-sales-consultant-sunrun,Photovoltaic Systems | Solar Installation | Energy Access | Retail Sales | Sales and Marketing | Customer Management,False
Power Trader,"Power Trader at Photon Energy Group in Budapest, Hungary.",Photon Energy Group,"Budapest, Hungary",https://rejobs.org/en/renewable-energy-jobs/112150-power-trader-photon-energy-group,Energy Analytics | Energy Trading,False
